country_code,period,price_eur_per_kwh
DE,2007-S1,0.2258
DE,2007-S2,0.234
DE,2008-S1,0.2389
DE,2008-S2,0.2439
DE,2009-S1,0.2528
DE,2009-S2,0.2534
DE,2010-S1,0.2622
DE,2010-S2,0.2695
DE,2011-S1,0.2774
DE,2011-S2,0.2777
DE,2012-S1,0.2844
DE,2012-S2,0.2927
DE,2013-S1,0.3169
DE,2013-S2,0.3176
DE,2014-S1,0.3228
DE,2014-S2,0.323
DE,2015-S1,0.3212
DE,2015-S2,0.3207
DE,2016-S1,0.3263
DE,2016-S2,0.3297
DE,2017-S1,0.3362
DE,2017-S2,0.3361
DE,2018-S1,0.3322
DE,2018-S2,0.3342
DE,2019-S1,0.3453
DE,2019-S2,0.3244
DE,2020-S1,0.343
DE,2020-S2,0.3343
DE,2021-S1,0.3527
DE,2021-S2,0.3588
DE,2022-S1,0.3643
DE,2022-S2,0.3738
DE,2023-S1,0.4536
DE,2023-S2,0.4458
DE,2024-S1,0.4423
DE,2024-S2,0.4433
DE,2025-S1,0.4347
FR,2007-S2,0.1433
FR,2008-S1,0.1411
FR,2008-S2,0.1408
FR,2009-S1,0.1397
FR,2009-S2,0.1413
FR,2010-S1,0.1466
FR,2010-S2,0.1542
FR,2011-S1,0.1558
FR,2011-S2,0.1609
FR,2012-S1,0.1569
FR,2012-S2,0.1706
FR,2013-S1,0.1744
FR,2013-S2,0.1816
FR,2014-S1,0.1769
FR,2014-S2,0.1899
FR,2015-S1,0.1885
FR,2015-S2,0.1868
FR,2016-S1,0.1858
FR,2016-S2,0.1894
FR,2017-S1,0.1946
FR,2017-S2,0.2008
FR,2018-S1,0.2019
FR,2018-S2,0.211
FR,2019-S1,0.2077
FR,2019-S2,0.2228
FR,2020-S1,0.224
FR,2020-S2,0.2327
FR,2021-S1,0.2282
FR,2021-S2,0.2398
FR,2022-S1,0.2482
FR,2022-S2,0.2582
FR,2023-S1,0.2741
FR,2023-S2,0.3098
FR,2024-S1,0.3264
FR,2024-S2,0.3371
FR,2025-S1,0.3014
